Structural element,type of structure,type of restraint,wall thickness [m],wall length [m],wall height [m],foundation depth [m],foundation width [m],L/H,Aw [m2],Af [m2],Aw/Af,Iw [m4],If [m4],Iw/If,cement type,cement amount [kg/m3],aggregate type,concrete class,fcm measured [MPa],concrete cover [mm],reinforcement diameter [mm],reinforcement spacing [mm],modulus of elasticity of steel [GPa],reinforcement ratio [%],wall curvature [1/m],no. of cracks,crack width range [mm],maximum crack width [mm],,,,,
frame bridge #13 abutment #1 segment 2,bridge,base + 1 side + top,1,24.79,5.3,0.9,4,4.68,5.30,3.60,1.47,12.41,0.24,51.06,CEM I 52.5N,380,crushed,C35/45,,50,25,125,200,0.79,0,10,"0,1-0,2",0.2,,,,,
frame bridge #13 abutment #2 segment 1,bridge,base + top,1,24.79,5.3,0.9,4,4.68,5.30,3.60,1.47,12.41,0.24,51.06,CEM I 52.5N,380,crushed,C35/45,,50,25,125,200,0.79,0,7,"0,1-0,3",0.3,,,,,
frame bridge #13 abutment #2 segment 2,bridge,base + 1 side + top,1,24.79,5.3,0.9,4,4.68,5.30,3.60,1.47,12.41,0.24,51.06,CEM I 52.5N,380,crushed,C35/45,,50,25,125,200,0.79,0,9,"0,1-0,2",0.2,,,,,
frame bridge #14 abutment #1 segment 1,bridge,base + top,0.75,24.29,5.45,0.9,4,4.46,4.09,3.60,1.14,10.12,0.24,41.64,CEM I 52.5N,380,crushed,C35/45,,50,22.64,75,200,1.43,0,3,"0,1-0,2",0.2,,,,,
frame bridge #14 abutment #1 segment 2,bridge,base + 1 side + top,0.75,24.29,5.45,0.9,4,4.46,4.09,3.60,1.14,10.12,0.24,41.64,CEM I 52.5N,380,crushed,C35/45,,50,22.64,75,200,1.43,0,15,"0,1-0,2",0.2,,,,,
frame bridge #14 abutment #2 segment 1,bridge,base + top,0.75,24.29,5.45,0.9,4,4.46,4.09,3.60,1.14,10.12,0.24,41.64,CEM I 52.5N,380,crushed,C35/45,,50,22.64,75,200,1.43,0,2,0.4,0.4,,,,,
frame bridge #14 abutment #2 segment 2,bridge,base + 1 side + top,0.75,24.29,5.45,0.9,4,4.46,4.09,3.60,1.14,10.12,0.24,41.64,CEM I 52.5N,380,crushed,C35/45,,50,22.64,75,200,1.43,0,12,"0,1-0,2",0.2,,,,,
rectangular tank - wall SC1 - phase 2 internal,tank,base,0.75,30.2,1.8,0.75,39.5,16.78,1.35,29.63,0.05,0.36,1.39,0.26,CEM III/A 42.5N ,330,gravel,C20/25,32,50,25,150,200,0.87,0,14,0.3,0.3,,,,,
rectangular tank - wall SC1 - phase 3 (added) internal,tank,base,0.5,15,3,0.75,39.5,5.00,1.50,29.63,0.05,1.13,1.39,0.81,CEM III/A 42.5N ,330,gravel,C20/25,32,50,20,150,200,0.84,0,4,0.1,0.1,,,,,
rectangular tank - wall SC1 - phase 4 internal,tank,base + 1 side,0.5,15.3,3,0.75,39.5,5.10,1.50,29.63,0.05,1.13,1.39,0.81,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,150,200,0.84,0,13,0.25,0.25,,,,,
rectangular tank - wall SC1 - phase 2 external,tank,base,0.75,30.2,1.8,0.75,39.5,16.78,1.35,29.63,0.05,0.36,1.39,0.26,CEM III/A 42.5N ,330,gravel,C20/25,32,50,25,100,200,1.31,0,29,0.25,0.25,,,,,
rectangular tank - wall SC1 - phase 3 (added) external,tank,base,0.5,15,3,0.75,39.5,5.00,1.50,29.63,0.05,1.13,1.39,0.81,CEM III/A 42.5N ,330,gravel,C20/25,32,50,20,100,200,1.26,0,0,0,0,,,,,
rectangular tank - wall SC1 - phase 4 external,tank,base + 1 side,0.5,15.3,3,0.75,39.5,5.10,1.50,29.63,0.05,1.13,1.39,0.81,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.26,0,12,0.2,0.2,,,,,
rectangular tank - wall SC8a - segment 1 (added),tank,base,0.35,14.25,4.4,0.75,39.5,3.24,1.54,29.63,0.05,2.48,1.39,1.79,CEM III/A 42.5N ,330,gravel,C20/25,32,50,20,150,200,1.20,0,11,0.35,0.35,,,,,
rectangular tank - wall SC8a - segment 2 (added),tank,base + 1 side,0.35,16.35,4.4,0.75,39.5,3.72,1.54,29.63,0.05,2.48,1.39,1.79,CEM II/B-S 32.5R ,330,gravel,C20/25,32,50,20,150,200,1.20,0,17,0.3,0.3,,,,,
rectangular tank - wall SC8b - segment 1 (added),tank,base,0.35,14.25,4.4,0.75,39.5,3.24,1.54,29.63,0.05,2.48,1.39,1.79,CEM II/B-S 32.5R ,330,gravel,C20/25,32,50,20,150,200,1.20,0,10,0.25,0.25,,,,,
rectangular tank - wall SC8b - segment 2 (added),tank,base + 1 side,0.35,16.35,4.4,0.75,39.5,3.72,1.54,29.63,0.05,2.48,1.39,1.79,CEM II/B-S 32.5R ,330,gravel,C20/25,32,50,20,150,200,1.20,0,6,0.25,0.25,,,,,
reactor tank,tank,base + 2 sides,0.6,15.7,6.4,0.7,96.4,2.45,3.84,67.48,0.06,13.11,2.76,4.76,CEM III/A 32.5N,380,gravel,C30/37,32.13,40,20,62.5,200,1.68,0,77,0.15,0.15,,,,,
Civaux containment wall OPC,containment,base,1.2,20,1.9,0.4,15,10.53,2.28,6.00,0.38,0.69,0.08,8.57,CEM II/A 42.5R,350,gravel,C30/37,40.2,50,20,200,200,0.26,0,8,"0,04-0,2",0.2,,,,,
Civaux containment wall HPC,containment,base,1.2,20,1.9,0.4,15,10.53,2.28,6.00,0.38,0.69,0.08,8.57,CEM III/A 42.5R,306,gravel,C50/60,64.5,50,20,200,200,0.26,0,1,0.1,0.1,,,,,
cylindrical industrial sewage tank no. 1 (Segment no. 7 internal),tank,base + 2 sides,0.45,13.96,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,6,0.3,0.3,,,,,
cylindrical industrial sewage tank no. 1 (Segment no. 8 internal),tank,base,0.45,13.97,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,6,0.4,0.4,,,,,
cylindrical industrial sewage tank no. 1 (Segment no. 7 external),tank,base + 2 sides,0.45,13.96,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,8,0.125,0.125,,,,,
cylindrical industrial sewage tank no. 1 (Segment no. 8 external),tank,base,0.45,13.97,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,,0.15,0.15,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 1 internal),tank,base,0.45,13.94,5.5,0.6,1.7,2.53,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,17,0.25,0.25,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 2 internal),tank,base + 2 sides,0.45,14.02,5.5,0.6,1.7,2.55,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,12,0.25,0.25,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 3 internal),tank,base,0.45,13.88,5.5,0.6,1.7,2.52,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,17,0.075,0.075,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 4 internal),tank,base + 2 sides,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,26,0.25,0.25,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 5 internal),tank,base,0.45,13.91,5.5,0.6,1.7,2.53,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,26,0.1,0.1,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 6 internal),tank,base + 2 sides,0.45,14.06,5.5,0.6,1.7,2.56,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,16,0.25,0.25,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 7 internal),tank,base,0.45,13.88,5.5,0.6,1.7,2.52,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,9,0.15,0.15,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 8 internal),tank,base + 2 sides,0.45,13.99,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,29,0.25,0.25,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 9 internal),tank,base,0.45,13.84,5.5,0.6,1.7,2.52,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,45,0.15,0.15,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 10 internal),tank,base + 2 sides,0.45,13.98,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,22,0.2,0.2,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 1 external),tank,base,0.45,13.94,5.5,0.6,1.7,2.53,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,8,0.125,0.125,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 2 external),tank,base + 2 sides,0.45,14.02,5.5,0.6,1.7,2.55,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,13,0.125,0.125,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 3 external),tank,base,0.45,13.88,5.5,0.6,1.7,2.52,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,31,0.075,0.075,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 4 external),tank,base + 2 sides,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,29,0.125,0.125,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 5 external),tank,base,0.45,13.91,5.5,0.6,1.7,2.53,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,9,0.075,0.075,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 6 external),tank,base + 2 sides,0.45,14.06,5.5,0.6,1.7,2.56,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,18,0.125,0.125,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 7 external),tank,base,0.45,13.88,5.5,0.6,1.7,2.52,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,8,0.1,0.1,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 8 external),tank,base + 2 sides,0.45,13.99,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,13,0.1,0.1,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 9 external),tank,base,0.45,13.84,5.5,0.6,1.7,2.52,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,18,0.125,0.125,,,,,
cylindrical industrial sewage tank no. 2 (Segment no. 10 external),tank,base + 2 sides,0.45,13.98,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,5,0.1,0.1,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 1 internal),tank,base,0.45,13.89,5.5,0.6,1.7,2.53,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,8,0.35,0.35,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 2 internal),tank,base + 2 sides,0.45,13.84,5.5,0.6,1.7,2.52,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,7,0.25,0.25,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 3 internal),tank,base,0.45,13.85,5.5,0.6,1.7,2.52,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,4,0.35,0.35,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 4 internal),tank,base + 2 sides,0.45,13.74,5.5,0.6,1.7,2.50,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,10,0.3,0.3,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 5 internal),tank,base,0.45,13.84,5.5,0.6,1.7,2.52,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,4,0.4,0.4,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 6 internal),tank,base + 2 sides,0.45,13.83,5.5,0.6,1.7,2.51,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,4,0.3,0.3,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 7 internal),tank,base,0.45,13.88,5.5,0.6,1.7,2.52,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,2,0.2,0.2,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 8 internal),tank,base + 2 sides,0.45,13.8,5.5,0.6,1.7,2.51,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,6,0.2,0.2,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 9 internal),tank,base,0.45,13.81,5.5,0.6,1.7,2.51,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,9,0.15,0.15,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 10 internal),tank,base + 2 sides,0.45,13.75,5.5,0.6,1.7,2.50,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,4,0.3,0.3,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 1 external),tank,base,0.45,13.89,5.5,0.6,1.7,2.53,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,4,0.15,0.15,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 3 external),tank,base,0.45,13.85,5.5,0.6,1.7,2.52,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,2,0.15,0.15,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 5 extrenal),tank,base,0.45,13.84,5.5,0.6,1.7,2.52,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,3,0.15,0.15,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 8 external),tank,base + 2 sides,0.45,13.8,5.5,0.6,1.7,2.51,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,1,0.125,0.125,,,,,
cylindrical industrial sewage tank no. 3 (Segment no. 10 external),tank,base + 2 sides,0.45,13.75,5.5,0.6,1.7,2.50,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,1,0.1,0.1,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 1 internal),tank,base + 2 sides,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,11,0.3,0.3,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 2 internal),tank,base,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,2,0.2,0.2,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 3 internal),tank,base + 1 side,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,4,0.3,0.3,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 4 internal),tank,base + 2 sides,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,0,0,0,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 5 internal),tank,base,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,0,0,0,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 6 internal),tank,base,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,2,0.2,0.2,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 7 internal),tank,base + 2 sides,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,11,0.3,0.3,,,,,
