Structural element,type of structure,type of restraint,wall thickness [m],wall length [m],wall height [m],foundation depth [m],foundation width [m],L/H,Aw [m2],Af [m2],Aw/Af,Iw [m4],If [m4],Iw/If,cement type,cement amount [kg/m3],aggregate type,concrete class,fcm measured [MPa],concrete cover [mm],reinforcement diameter [mm],reinforcement spacing [mm],modulus of elasticity of steel [GPa],reinforcement ratio [%],wall curvature [1/m],no. of cracks,crack width range [mm],maximum crack width [mm],,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 8 internal),tank,base,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,5,0.3,0.3,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 9 internal),tank,base + 2 sides,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,5,0.4,0.4,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 10 internal),tank,base,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,16,125,200,0.71,0.045,2,0.2,0.2,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 1 external),tank,base + 2 sides,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,6,0.175,0.175,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 2 external),tank,base,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,2,0.1,0.1,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 3 external),tank,base + 1 side,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,2,0.15,0.15,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 4 external),tank,base + 2 sides,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,0,0,0,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 5 external),tank,base,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,0,0,0,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 6 external),tank,base,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,1,0.1,0.1,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 7 external),tank,base + 2 sides,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,3,0.125,0.125,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 8 external),tank,base,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,3,0.125,0.125,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 9 external),tank,base + 2 sides,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,2,0.1,0.1,,,,,
cylindrical industrial sewage tank no. 4 (Segment no. 10 external),tank,base,0.45,13.95,5.5,0.6,1.7,2.54,2.48,1.02,2.43,6.24,0.03,203.89,CEM II/B-S 32.5R,330,gravel,C20/25,32,50,20,100,200,1.40,-0.045,2,0.1,0.1,,,,,
"laboratory by Stoffers (I, 1, ??v=0,4‰)",laboratory,base,0.06,3,0.375,-,-,8.00,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,30 (7x7x7 sample),5,0,,177,0,0,,0.174,0.2958,,,,,
"laboratory by Stoffers (I, 1, ??v=0,6‰)",laboratory,base,0.06,3,0.375,-,-,8.00,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,31 (7x7x7 sample),5,0,,177,0,0,,0.342,0.5814,,,,,
"laboratory by Stoffers (I, 1, ??v=0,8‰)",laboratory,base,0.06,3,0.375,-,-,8.00,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,32 (7x7x7 sample),5,0,,177,0,0,26,0.405,0.688,,,,,
"laboratory by Stoffers (I, 2, ??v=0,4‰)",laboratory,base,0.06,3,0.375,-,-,8.00,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,33 (7x7x7 sample),5,2.5,22,177,0.74,0,,0.042,0.0714,,,,,
"laboratory by Stoffers (I, 2, ??v=0,6‰)",laboratory,base,0.06,3,0.375,-,-,8.00,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,34 (7x7x7 sample),5,2.5,22,177,0.74,0,,0.05,0.085,,,,,
"laboratory by Stoffers (I, 2, ??v=0,8‰)",laboratory,base,0.06,3,0.375,-,-,8.00,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,35 (7x7x7 sample),5,2.5,22,177,0.74,0,,0.05,0.085,,,,,
"laboratory by Stoffers (I, 3, ??v=0,4‰)",laboratory,base,0.06,3,0.375,-,-,8.00,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,36 (7x7x7 sample),5,3,16,177,1.47,0,,0.016,0.0272,,,,,
"laboratory by Stoffers (I, 3, ??v=0,6‰)",laboratory,base,0.06,3,0.375,-,-,8.00,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,37 (7x7x7 sample),5,3,16,177,1.47,0,,0.024,0.0408,,,,,
"laboratory by Stoffers (I, 3, ??v=0,8‰)",laboratory,base,0.06,3,0.375,-,-,8.00,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,38 (7x7x7 sample),5,3,16,177,1.47,0,55,0.027,0.0459,,,,,
"laboratory by Stoffers (II, 4, ??v=0,4‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,39 (7x7x7 sample),5,2,43,177,0.24,0,,0.11,0.187,,,,,
"laboratory by Stoffers (II, 4, ??v=0,6‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,40 (7x7x7 sample),5,2,43,177,0.24,0,,0.184,0.3128,,,,,
"laboratory by Stoffers (II, 4, ??v=0,8‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,41 (7x7x7 sample),5,2,43,177,0.24,0,,0.195,0.3315,,,,,
"laboratory by Stoffers (II, 5, ??v=0,4‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,42 (7x7x7 sample),5,1.4,21,177,0.24,0,,0.149,0.2533,,,,,
"laboratory by Stoffers (II, 5, ??v=0,6‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,43 (7x7x7 sample),5,1.4,21,177,0.24,0,,0.259,0.4403,,,,,
"laboratory by Stoffers (II, 5, ??v=0,8‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,44 (7x7x7 sample),5,1.4,21,177,0.24,0,,0.273,0.4641,,,,,
"laboratory by Stoffers (II, 6, ??v=0,4‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,45 (7x7x7 sample),5,3,47,177,0.50,0,,0.106,0.1802,,,,,
"laboratory by Stoffers (II, 6, ??v=0,6‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,46 (7x7x7 sample),5,3,47,177,0.50,0,,0.125,0.2125,,,,,
"laboratory by Stoffers (II, 6, ??v=0,8‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,47 (7x7x7 sample),5,3,47,177,0.50,0,,0.138,0.2346,,,,,
"laboratory by Stoffers (II, 7, ??v=0,4‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,48 (7x7x7 sample),5,1.4,10,177,0.51,0,,0.077,0.1309,,,,,
"laboratory by Stoffers (II, 7, ??v=0,6‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,49 (7x7x7 sample),5,1.4,10,177,0.51,0,,0.077,0.1309,,,,,
"laboratory by Stoffers (II, 7, ??v=0,8‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,50 (7x7x7 sample),5,1.4,10,177,0.51,0,41,0.105,0.1785,,,,,
"laboratory by Stoffers (II, 8, ??v=0,4‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,51 (7x7x7 sample),5,2,14,177,0.75,0,,0.039,0.0663,,,,,
"laboratory by Stoffers (II, 8, ??v=0,6‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,52 (7x7x7 sample),5,2,14,177,0.75,0,,0.042,0.0714,,,,,
"laboratory by Stoffers (II, 8, ??v=0,8‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,53 (7x7x7 sample),5,2,14,177,0.75,0,,0.069,0.1173,,,,,
"laboratory by Stoffers (III, 9, ??v=0,4‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,54 (7x7x7 sample),5,2.5,22,177,0.74,0,,0.045,0.0765,,,,,
"laboratory by Stoffers (III, 9, ??v=0,6‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,55 (7x7x7 sample),5,2.5,22,177,0.74,0,,0.054,0.0918,,,,,
"laboratory by Stoffers (III, 9, ??v=0,8‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,56 (7x7x7 sample),5,2.5,22,177,0.74,0,24,0.057,0.0969,,,,,
"laboratory by Stoffers (III, 10, ??v=0,4‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,57 (7x7x7 sample),5,2,21,177,0.50,0,,0.09,0.153,,,,,
"laboratory by Stoffers (III, 10, ??v=0,6‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,58 (7x7x7 sample),5,2,21,177,0.50,0,,0.114,0.1938,,,,,
"laboratory by Stoffers (III, 10, ??v=0,8‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0765,0.294,0.000264,inf.,0.0,CEM I 42.5N,300,sand,C20/25,59 (7x7x7 sample),5,2,21,177,0.50,0,,0.132,0.2244,,,,,
"laboratory by Stoffers (III, 12, ??v=0,4‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0102,2.217,0.000264,0.000002,131.84,CEM I 42.5N,300,sand,C20/25,60 (7x7x7 sample),5,0,-,177,0.00,0,,0.022,0.0374,,,,,
"laboratory by Stoffers (III, 12, ??v=0,6‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0102,2.217,0.000264,0.000002,131.84,CEM I 42.5N,300,sand,C20/25,61 (7x7x7 sample),5,0,-,177,0.00,0,,0.05,0.085,,,,,
"laboratory by Stoffers (III, 12, ??v=0,8‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0102,2.217,0.000264,0.000002,131.84,CEM I 42.5N,300,sand,C20/25,62 (7x7x7 sample),5,0,-,177,0.00,0,,0.075,0.1275,,,,,
"laboratory by Stoffers (III, 13, ??v=0,4‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0102,2.217,0.000264,0.000002,131.84,CEM I 42.5N,300,sand,C20/25,63 (7x7x7 sample),5,1.4,21,177,0.24,0,,0.019,0.0323,,,,,
"laboratory by Stoffers (III, 13, ??v=0,6‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0102,2.217,0.000264,0.000002,131.84,CEM I 42.5N,300,sand,C20/25,64 (7x7x7 sample),5,1.4,21,177,0.24,0,,0.037,0.0629,,,,,
"laboratory by Stoffers (III, 13, ??v=0,8‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0102,2.217,0.000264,0.000002,131.84,CEM I 42.5N,300,sand,C20/25,65 (7x7x7 sample),5,1.4,21,177,0.24,0,33,0.053,0.0901,,,,,
"laboratory by Stoffers (III, 14, ??v=0,4‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0102,2.217,0.000264,0.000002,131.84,CEM I 42.5N,300,sand,C20/25,66 (7x7x7 sample),5,1.4,10,177,0.51,0,,0.015,0.0255,,,,,
"laboratory by Stoffers (III, 14, ??v=0,6‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0102,2.217,0.000264,0.000002,131.84,CEM I 42.5N,300,sand,C20/25,67 (7x7x7 sample),5,1.4,10,177,0.51,0,,0.026,0.0442,,,,,
"laboratory by Stoffers (III, 14, ??v=0,8‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0102,2.217,0.000264,0.000002,131.84,CEM I 42.5N,300,sand,C20/25,68 (7x7x7 sample),5,1.4,10,177,0.51,0,47,0.035,0.0595,,,,,
"laboratory by Stoffers (III, 15, ??v=0,4‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0102,2.217,0.000264,0.000002,131.84,CEM I 42.5N,300,sand,C20/25,69 (7x7x7 sample),5,2.5,22,177,0.74,0,,0.019,0.0323,,,,,
"laboratory by Stoffers (III, 15, ??v=0,6‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0102,2.217,0.000264,0.000002,131.84,CEM I 42.5N,300,sand,C20/25,70 (7x7x7 sample),5,2.5,22,177,0.74,0,,0.028,0.0476,,,,,
"laboratory by Stoffers (III, 15, ??v=0,8‰)",laboratory,base,0.06,2.5,0.375,-,-,6.67,0.02,0.0102,2.217,0.000264,0.000002,131.84,CEM I 42.5N,300,sand,C20/25,71 (7x7x7 sample),5,2.5,22,177,0.74,0,36,0.042,0.0714,,,,,
laboratory by Pass (W1),laboratory,base,0.25,9.9,1.8,-,-,5.50,0.45,1.1,0.40,0.12,inf.,0.0,CEM II/A 32.5R,390,gravel,C20/25,,25,0,-,210,0,0,3,1.5,1.5,,,,,
laboratory by Pass (W2),laboratory,base,0.25,9.9,1.8,-,-,5.50,0.45,1.1,0.40,0.12,inf.,0.0,CEM V/B 32.5N,380,gravel,C20/25,,25,10,125,210,0.50,0,7,0.15,0.15,,,,,
Mirace (Case 1),laboratory,base,1.2,12.9,6.8,-,-,1.90,8.16,20.4,0.40,31.44,inf.,0.0,CEM II 32.5 R,460,gravel,C25/30,34,40,20,200,200,0.26,0,7,0.4,0.4,,,,,
Mirace (Case 2),laboratory,base,1.2,12.9,6.8,-,-,1.90,8.16,20.4,0.40,31.44,inf.,0.0,CEM II 32.5 R,460,gravel,C25/30,34,40,20,200,200,0.26,0,3,0.3,0.3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
